"Ativo","Data","Fechamento|ajust p/ prov|Em moeda orig"
"CDI Acumulado<BraNa>","Set-1994",120.47310393
"CDI Acumulado<BraNa>","Out-1994",124.87541146
"CDI Acumulado<BraNa>","Nov-1994",130.00708993
"CDI Acumulado<BraNa>","Dez-1994",134.97006054
"CDI Acumulado<BraNa>","Jan-1995",139.65965746
"CDI Acumulado<BraNa>","Fev-1995",144.18081491
"CDI Acumulado<BraNa>","Mar-1995",150.53572214
"CDI Acumulado<BraNa>","Abr-1995",156.88765737
"CDI Acumulado<BraNa>","Mai-1995",163.58639143
"CDI Acumulado<BraNa>","Jun-1995",170.21045789
"CDI Acumulado<BraNa>","Jul-1995",177.0331211
"CDI Acumulado<BraNa>","Ago-1995",183.78459562
"CDI Acumulado<BraNa>","Set-1995",189.76219884
"CDI Acumulado<BraNa>","Out-1995",195.57229692
"CDI Acumulado<BraNa>","Nov-1995",201.12256923
"CDI Acumulado<BraNa>","Dez-1995",206.60409803
"CDI Acumulado<BraNa>","Jan-1996",211.89182105
"CDI Acumulado<BraNa>","Fev-1996",216.77807647
"CDI Acumulado<BraNa>","Mar-1996",221.54193346
"CDI Acumulado<BraNa>","Abr-1996",226.04650142
"CDI Acumulado<BraNa>","Mai-1996",230.577211
"CDI Acumulado<BraNa>","Jun-1996",235.09432296
"CDI Acumulado<BraNa>","Jul-1996",239.592112
"CDI Acumulado<BraNa>","Ago-1996",244.26959233
"CDI Acumulado<BraNa>","Set-1996",248.87061589
"CDI Acumulado<BraNa>","Out-1996",253.48953105
"CDI Acumulado<BraNa>","Nov-1996",258.03741656
"CDI Acumulado<BraNa>","Dez-1996",262.65674919
"CDI Acumulado<BraNa>","Jan-1997",267.22695945
"CDI Acumulado<BraNa>","Fev-1997",271.66284355
"CDI Acumulado<BraNa>","Mar-1997",276.07703905
"CDI Acumulado<BraNa>","Abr-1997",280.64752762
"CDI Acumulado<BraNa>","Mai-1997",285.07559905
"CDI Acumulado<BraNa>","Jun-1997",289.61209358
"CDI Acumulado<BraNa>","Jul-1997",294.25975458
"CDI Acumulado<BraNa>","Ago-1997",298.90926437
"CDI Acumulado<BraNa>","Set-1997",303.63230864
"CDI Acumulado<BraNa>","Out-1997",308.73586747
"CDI Acumulado<BraNa>","Nov-1997",317.95644234
"CDI Acumulado<BraNa>","Dez-1997",327.22423115
"CDI Acumulado<BraNa>","Jan-1998",335.94885089
"CDI Acumulado<BraNa>","Fev-1998",343.02831819
"CDI Acumulado<BraNa>","Mar-1998",350.50736454
"CDI Acumulado<BraNa>","Abr-1998",356.44789238
"CDI Acumulado<BraNa>","Mai-1998",362.24970069
"CDI Acumulado<BraNa>","Jun-1998",368.03457162
"CDI Acumulado<BraNa>","Jul-1998",374.2689988
"CDI Acumulado<BraNa>","Ago-1998",379.78036682
"CDI Acumulado<BraNa>","Set-1998",389.24657347
"CDI Acumulado<BraNa>","Out-1998",400.63338366
"CDI Acumulado<BraNa>","Nov-1998",410.95198586
"CDI Acumulado<BraNa>","Dez-1998",420.72449669
"CDI Acumulado<BraNa>","Jan-1999",429.87187504
"CDI Acumulado<BraNa>","Fev-1999",439.97052985
"CDI Acumulado<BraNa>","Mar-1999",454.42459631
"CDI Acumulado<BraNa>","Abr-1999",464.76522506
"CDI Acumulado<BraNa>","Mai-1999",473.87248647
"CDI Acumulado<BraNa>","Jun-1999",481.6192309
"CDI Acumulado<BraNa>","Jul-1999",489.43396341
"CDI Acumulado<BraNa>","Ago-1999",497.00256348
"CDI Acumulado<BraNa>","Set-1999",504.29742432
"CDI Acumulado<BraNa>","Out-1999",511.22875977
"CDI Acumulado<BraNa>","Nov-1999",518.24530029
"CDI Acumulado<BraNa>","Dez-1999",526.44653
"CDI Acumulado<BraNa>","Jan-2000",534.03405
"CDI Acumulado<BraNa>","Fev-2000",541.72693
